cancer,conv_type,fusion,lr,mixup_alpha,split_seed,status,accuracy,macro_f1,weighted_f1,low_n_warn
BRCA,gat,attn,1e-3,0.0,0,ok,0.8,0.7781,0.8041,False
BRCA,gat,attn,1e-3,0.0,1,ok,0.8074,0.7566,0.8134,False
BRCA,gat,attn,1e-3,0.0,2,ok,0.8148,0.7703,0.822,False
BRCA,gat,attn,1e-3,0.0,3,ok,0.7778,0.7354,0.7864,False
BRCA,gat,attn,1e-3,0.0,4,ok,0.8,0.7595,0.8068,False
BRCA,gat,attn,1e-3,0.1,0,ok,0.7852,0.7791,0.7908,False
BRCA,gat,attn,1e-3,0.1,1,ok,0.8074,0.746,0.8165,False
BRCA,gat,attn,1e-3,0.1,2,ok,0.8148,0.7829,0.8217,False
BRCA,gat,attn,1e-3,0.1,3,ok,0.763,0.7448,0.7796,False
BRCA,gat,attn,1e-3,0.1,4,ok,0.7852,0.7491,0.7972,False
BRCA,gat,attn,1e-3,0.2,0,ok,0.7926,0.7833,0.7979,False
BRCA,gat,attn,1e-3,0.2,1,ok,0.8,0.7471,0.807,False
BRCA,gat,attn,1e-3,0.2,2,ok,0.8222,0.7855,0.8311,False
BRCA,gat,attn,1e-3,0.2,3,ok,0.7704,0.7543,0.7848,False
BRCA,gat,attn,1e-3,0.2,4,ok,0.7852,0.7491,0.7972,False
BRCA,gat,attn,1e-4,0.0,0,ok,0.763,0.7431,0.7666,False
BRCA,gat,attn,1e-4,0.0,1,ok,0.7704,0.7094,0.7823,False
BRCA,gat,attn,1e-4,0.0,2,ok,0.837,0.7927,0.8458,False
BRCA,gat,attn,1e-4,0.0,3,ok,0.7259,0.6886,0.7397,False
BRCA,gat,attn,1e-4,0.0,4,ok,0.7852,0.7475,0.7948,False
BRCA,gat,attn,1e-4,0.1,0,ok,0.7407,0.7144,0.7541,False
BRCA,gat,attn,1e-4,0.1,1,ok,0.7556,0.6919,0.7694,False
BRCA,gat,attn,1e-4,0.1,2,ok,0.8,0.7498,0.8136,False
BRCA,gat,attn,1e-4,0.1,3,ok,0.7111,0.689,0.7277,False
BRCA,gat,attn,1e-4,0.1,4,ok,0.763,0.7224,0.7785,False
BRCA,gat,attn,1e-4,0.2,0,ok,0.7407,0.713,0.7555,False
BRCA,gat,attn,1e-4,0.2,1,ok,0.7556,0.6864,0.7727,False
BRCA,gat,attn,1e-4,0.2,2,ok,0.8,0.7482,0.8128,False
BRCA,gat,attn,1e-4,0.2,3,ok,0.7111,0.689,0.7277,False
BRCA,gat,attn,1e-4,0.2,4,ok,0.763,0.7224,0.7785,False
BRCA,gat,attn,5e-4,0.0,0,ok,0.8074,0.7793,0.8106,False
BRCA,gat,attn,5e-4,0.0,1,ok,0.8074,0.7477,0.8149,False
BRCA,gat,attn,5e-4,0.0,2,ok,0.8222,0.7811,0.83,False
BRCA,gat,attn,5e-4,0.0,3,ok,0.7926,0.7678,0.802,False
BRCA,gat,attn,5e-4,0.0,4,ok,0.8074,0.7495,0.8144,False
BRCA,gat,attn,5e-4,0.1,0,ok,0.7778,0.7685,0.7843,False
BRCA,gat,attn,5e-4,0.1,1,ok,0.7926,0.739,0.8003,False
BRCA,gat,attn,5e-4,0.1,2,ok,0.8519,0.8097,0.8598,False
BRCA,gat,attn,5e-4,0.1,3,ok,0.763,0.7439,0.7809,False
BRCA,gat,attn,5e-4,0.1,4,ok,0.7778,0.7406,0.7924,False
BRCA,gat,attn,5e-4,0.2,0,ok,0.7778,0.7685,0.7843,False
BRCA,gat,attn,5e-4,0.2,1,ok,0.8,0.7448,0.8082,False
BRCA,gat,attn,5e-4,0.2,2,ok,0.837,0.7955,0.8461,False
BRCA,gat,attn,5e-4,0.2,3,ok,0.7407,0.7204,0.7588,False
BRCA,gat,attn,5e-4,0.2,4,ok,0.7852,0.745,0.7997,False
BRCA,gat,cross,1e-3,0.0,0,ok,0.7926,0.7564,0.7957,False
BRCA,gat,cross,1e-3,0.0,1,ok,0.8296,0.7696,0.8348,False
BRCA,gat,cross,1e-3,0.0,2,ok,0.8222,0.7837,0.8283,False
BRCA,gat,cross,1e-3,0.0,3,ok,0.7556,0.7229,0.7701,False
BRCA,gat,cross,1e-3,0.0,4,ok,0.8074,0.764,0.8194,False
BRCA,gat,cross,1e-3,0.1,0,ok,0.7926,0.7719,0.797,False
BRCA,gat,cross,1e-3,0.1,1,ok,0.8148,0.7558,0.8214,False
