cancer,conv_type,fusion,lr,mixup_alpha,split_seed,status,accuracy,macro_f1,weighted_f1,low_n_warn
COAD,gat,cross,1e-3,0.1,0,ok,0.8302,0.5658,0.8269,True
COAD,gat,cross,1e-3,0.1,1,ok,0.7358,0.5206,0.7596,True
COAD,gat,cross,1e-3,0.1,2,ok,0.7736,0.5213,0.7828,True
COAD,gat,cross,1e-3,0.1,3,ok,0.6792,0.4732,0.6898,True
COAD,gat,cross,1e-3,0.1,4,ok,0.7547,0.5397,0.7586,True
GBM,gat,cross,1e-3,0.1,0,ok,0.6531,0.66,0.6423,False
GBM,gat,cross,1e-3,0.1,1,ok,0.898,0.9054,0.8955,False
GBM,gat,cross,1e-3,0.1,2,ok,0.8571,0.867,0.8557,False
GBM,gat,cross,1e-3,0.1,3,ok,0.7959,0.8088,0.7935,False
GBM,gat,cross,1e-3,0.1,4,ok,0.7959,0.8023,0.7899,False
LGG,gat,cross,1e-3,0.1,0,ok,1.0,1.0,1.0,False
LGG,gat,cross,1e-3,0.1,1,ok,0.96,0.9496,0.96,False
LGG,gat,cross,1e-3,0.1,2,ok,0.98,0.9739,0.9796,False
LGG,gat,cross,1e-3,0.1,3,ok,0.96,0.9455,0.9583,False
LGG,gat,cross,1e-3,0.1,4,ok,0.96,0.9528,0.9612,False
OV,gat,cross,1e-3,0.1,0,ok,0.6842,0.6883,0.6843,False
OV,gat,cross,1e-3,0.1,1,ok,0.7544,0.7517,0.7552,False
OV,gat,cross,1e-3,0.1,2,ok,0.7719,0.7744,0.7776,False
OV,gat,cross,1e-3,0.1,3,ok,0.8246,0.8244,0.8271,False
OV,gat,cross,1e-3,0.1,4,ok,0.7368,0.7397,0.7444,False
